source,target,src_type,tgt_type,confidence,polarity,strength,claim_type
Element:Mo,Microstructure:M3B2,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Mo,Microstructure:TCP,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Mo,Microstructure:oxide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Mo,Microstructure:carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Mo,Microstructure:γ'',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Mo,Microstructure:δ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Mo,Property:EL,Element,Property,0.85,increase,strong,cooccurrence
Element:Mo,Property:ultimate tensile strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Mo,Property:creep rupture life,Element,Property,0.85,increase,strong,cooccurrence
Element:Mo,Property:yield strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Mo,Property:HV,Element,Property,0.85,increase,strong,cooccurrence
Element:Mo,Element:N,Element,Element,0.6,increase,medium,cooccurrence
Element:Mo,Element:O,Element,Element,0.65,increase,medium,cooccurrence
Element:Mo,Element:Mn,Element,Element,0.6,increase,medium,cooccurrence
Element:Mo,Property:creep life,Element,Property,0.6,increase,medium,cooccurrence
Element:Mo,Element:Sn,Element,Element,0.55,increase,medium,cooccurrence
Element:Mo,Element:Zr,Element,Element,0.75,increase,strong,cooccurrence
Element:Mo,Microstructure:MC carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Element:Mo,Element,Element,0.85,increase,strong,cooccurrence
Element:Ni,Microstructure:M23C6,Element,Microstructure,0.7,increase,medium,cooccurrence
Element:Ni,Microstructure:γ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Ni,Microstructure:Cr2O3,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Ni,Microstructure:γ',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Ni,Property:hardness,Element,Property,0.75,increase,strong,cooccurrence
Element:Ni,Element:Si,Element,Element,0.75,increase,strong,cooccurrence
Element:Ni,Microstructure:MC,Element,Microstructure,0.7,increase,medium,cooccurrence
Element:Ni,Microstructure:Ni3Nb,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:M6C,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Ni,Microstructure:η,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:σ,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Ni,Microstructure:boride,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Ni,Microstructure:M3B2,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:TCP,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:oxide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:M7C3,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:α-Cr,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:Ni3Al,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:γ'',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Ni,Microstructure:δ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Ni,Property:EL,Element,Property,0.85,increase,strong,cooccurrence
Element:Ni,Property:ultimate tensile strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Ni,Property:creep rupture life,Element,Property,0.85,increase,strong,cooccurrence
Element:Ni,Property:yield strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Ni,Property:HV,Element,Property,0.85,increase,strong,cooccurrence
Element:Ni,Element:N,Element,Element,0.6,increase,medium,cooccurrence
Element:Ni,Element:O,Element,Element,0.65,increase,medium,cooccurrence
Element:Ni,Element:Mn,Element,Element,0.7,increase,medium,cooccurrence
Element:Ni,Property:creep life,Element,Property,0.6,increase,medium,cooccurrence
Element:Ni,Element:Y,Element,Element,0.55,increase,medium,cooccurrence
Element:Ni,Property:Young's modulus,Element,Property,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:FCC,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Property:elastic modulus,Element,Property,0.6,increase,medium,cooccurrence
Element:Ni,Element:Ce,Element,Element,0.55,increase,medium,cooccurrence
Element:Ni,Element:Cu,Element,Element,0.6,increase,medium,cooccurrence
Element:Ni,Element:Sn,Element,Element,0.55,increase,medium,cooccurrence
Element:Ni,Element:Zr,Element,Element,0.75,increase,strong,cooccurrence
Element:Ni,Microstructure:MC carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Ni,Microstructure:TiN,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Cr,Element:Mo,Element,Element,0.85,increase,strong,cooccurrence
Element:Cr,Element:Ni,Element,Element,0.85,increase,strong,cooccurrence
Element:Cr,Microstructure:M23C6,Element,Microstructure,0.7,increase,medium,cooccurrence
Element:Cr,Microstructure:γ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Cr,Microstructure:Cr2O3,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:γ',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Cr,Property:hardness,Element,Property,0.75,increase,strong,cooccurrence
Element:Cr,Element:Si,Element,Element,0.75,increase,strong,cooccurrence
Element:Cr,Microstructure:MC,Element,Microstructure,0.7,increase,medium,cooccurrence
Element:Cr,Microstructure:Ni3Nb,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:M6C,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Cr,Microstructure:η,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:σ,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:boride,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Cr,Microstructure:M3B2,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:TCP,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:oxide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:M7C3,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Cr,Microstructure:α-Cr,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:Ni3Al,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Cr,Microstructure:γ'',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Cr,Microstructure:δ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Cr,Property:EL,Element,Property,0.85,increase,strong,cooccurrence
Element:Cr,Property:ultimate tensile strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Cr,Property:creep rupture life,Element,Property,0.85,increase,strong,cooccurrence
Element:Cr,Property:yield strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Cr,Property:HV,Element,Property,0.85,increase,strong,cooccurrence
Element:Cr,Element:N,Element,Element,0.6,increase,medium,cooccurrence
Element:Cr,Element:O,Element,Element,0.65,increase,medium,cooccurrence
Element:Cr,Element:Mn,Element,Element,0.65,increase,medium,cooccurrence
Element:Cr,Property:creep life,Element,Property,0.6,increase,medium,cooccurrence
Element:Cr,Element:Y,Element,Element,0.55,increase,medium,cooccurrence
Element:Cr,Property:Young's modulus,Element,Property,0.6,increase,medium,cooccurrence
Element:Cr,Property:elastic modulus,Element,Property,0.6,increase,medium,cooccurrence
Element:Cr,Element:Ce,Element,Element,0.55,increase,medium,cooccurrence
Element:Cr,Element:Sn,Element,Element,0.55,increase,medium,cooccurrence
Element:Cr,Element:Zr,Element,Element,0.75,increase,strong,cooccurrence
Element:Cr,Microstructure:MC carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Element:Mo,Element,Element,0.85,increase,strong,cooccurrence
Element:Co,Element:Ni,Element,Element,0.85,increase,strong,cooccurrence
Element:Co,Element:Cr,Element,Element,0.85,increase,strong,cooccurrence
Element:Co,Microstructure:M23C6,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Microstructure:γ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Co,Microstructure:Cr2O3,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Microstructure:γ',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Co,Property:hardness,Element,Property,0.65,increase,medium,cooccurrence
Element:Co,Microstructure:Al2O3,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Element:N,Element,Element,0.6,increase,medium,cooccurrence
Element:Co,Element:Si,Element,Element,0.65,increase,medium,cooccurrence
Element:Co,Element:O,Element,Element,0.65,increase,medium,cooccurrence
Element:Co,Element:Mn,Element,Element,0.7,increase,medium,cooccurrence
Element:Co,Microstructure:MC,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Property:creep life,Element,Property,0.6,increase,medium,cooccurrence
Element:Co,Element:Y,Element,Element,0.55,increase,medium,cooccurrence
Element:Co,Property:Young's modulus,Element,Property,0.6,increase,medium,cooccurrence
Element:Co,Microstructure:FCC,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Property:elastic modulus,Element,Property,0.6,increase,medium,cooccurrence
Element:Co,Property:yield strength,Element,Property,0.65,increase,medium,cooccurrence
Element:Co,Property:ultimate tensile strength,Element,Property,0.6,increase,medium,cooccurrence
Element:Co,Element:Cu,Element,Element,0.6,increase,medium,cooccurrence
Element:Co,Element:Sn,Element,Element,0.55,increase,medium,cooccurrence
Element:Co,Microstructure:δ,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Element:Zr,Element,Element,0.7,increase,medium,cooccurrence
Element:Co,Microstructure:MC carbide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Co,Microstructure:TiN,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Co,Property:EL,Element,Property,0.6,increase,medium,cooccurrence
Microstructure:M23C6,Property:hardness,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:M23C6,Microstructure:boride,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:γ,Microstructure:M23C6,Microstructure,Microstructure,0.65,increase,medium,cooccurrence
Microstructure:γ,Microstructure:γ',Microstructure,Microstructure,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:hardness,Microstructure,Property,0.75,increase,strong,cooccurrence
Microstructure:γ,Microstructure:MC,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:M6C,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:η,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:σ,Microstructure,Microstructure,0.65,increase,medium,cooccurrence
Microstructure:γ,Microstructure:boride,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:γ,Microstructure:TCP,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:M7C3,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:carbide,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ,Property:residual stress,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:γ'',Microstructure,Microstructure,0.85,increase,strong,cooccurrence
Microstructure:γ,Microstructure:δ,Microstructure,Microstructure,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:EL,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:ultimate tensile strength,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:creep rupture life,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:yield strength,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:HV,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ,Property:fatigue strength,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:γ,Microstructure:carbides,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Property:hardness,Property:residual stress,Property,Property,0.6,increase,medium,cooccurrence
Microstructure:Cr2O3,Microstructure:NiCr2O4,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:Cr2O3,Microstructure:TiN,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Processing:VIM,Processing:forging,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:VIM,Microstructure:M23C6,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:VIM,Microstructure:γ,Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:VIM,Microstructure:γ',Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:VIM,Microstructure:γ'',Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:VIM,Microstructure:δ,Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:VIM,Property:EL,Processing,Property,0.85,increase,strong,cooccurrence
Processing:VIM,Property:ultimate tensile strength,Processing,Property,0.85,increase,strong,cooccurrence
Processing:VIM,Property:creep rupture life,Processing,Property,0.85,increase,strong,cooccurrence
Processing:VIM,Property:yield strength,Processing,Property,0.85,increase,strong,cooccurrence
Processing:VIM,Property:HV,Processing,Property,0.8,increase,strong,cooccurrence
Processing:forging,Microstructure:M23C6,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Processing:VIM,Processing,Processing,0.85,increase,strong,cooccurrence
Processing:aging,Processing:forging,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:M23C6,Processing,Microstructure,0.7,increase,medium,cooccurrence
Processing:aging,Microstructure:γ,Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:aging,Microstructure:γ',Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:aging,Property:hardness,Processing,Property,0.7,increase,medium,cooccurrence
Processing:aging,Microstructure:MC,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:M6C,Processing,Microstructure,0.65,increase,medium,cooccurrence
Processing:aging,Microstructure:η,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:σ,Processing,Microstructure,0.65,increase,medium,cooccurrence
Processing:aging,Microstructure:boride,Processing,Microstructure,0.55,increase,medium,cooccurrence
Processing:aging,Microstructure:TCP,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:M7C3,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:α-Cr,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:carbide,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:aging,Microstructure:γ'',Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:aging,Microstructure:δ,Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:aging,Property:EL,Processing,Property,0.85,increase,strong,cooccurrence
Processing:aging,Property:ultimate tensile strength,Processing,Property,0.85,increase,strong,cooccurrence
Processing:aging,Property:creep rupture life,Processing,Property,0.85,increase,strong,cooccurrence
Processing:aging,Property:yield strength,Processing,Property,0.85,increase,strong,cooccurrence
Processing:aging,Property:HV,Processing,Property,0.8,increase,strong,cooccurrence
Processing:aging,Processing:solution heat treatment,Processing,Processing,0.65,increase,medium,cooccurrence
Processing:aging,Processing:HIP,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:aging,Property:creep life,Processing,Property,0.6,increase,medium,cooccurrence
Processing:aging,Processing:directional solidification,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:aging,Processing:homogenization,Processing,Processing,0.7,increase,medium,cooccurrence
Processing:aging,Microstructure:carbides,Processing,Microstructure,0.55,increase,medium,cooccurrence
Processing:aging,Processing:Bridgman directional solidification,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:solution treatment,Processing:VIM,Processing,Processing,0.85,increase,strong,cooccurrence
Processing:solution treatment,Processing:aging,Processing,Processing,0.85,increase,strong,cooccurrence
Processing:solution treatment,Microstructure:γ,Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:solution treatment,Microstructure:γ',Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:solution treatment,Property:hardness,Processing,Property,0.6,increase,medium,cooccurrence
Processing:solution treatment,Microstructure:γ'',Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:solution treatment,Microstructure:δ,Processing,Microstructure,0.85,increase,strong,cooccurrence
Processing:solution treatment,Property:EL,Processing,Property,0.85,increase,strong,cooccurrence
Processing:solution treatment,Property:ultimate tensile strength,Processing,Property,0.85,increase,strong,cooccurrence
Processing:solution treatment,Property:creep rupture life,Processing,Property,0.85,increase,strong,cooccurrence
Processing:solution treatment,Property:yield strength,Processing,Property,0.85,increase,strong,cooccurrence
Processing:solution treatment,Property:HV,Processing,Property,0.8,increase,strong,cooccurrence
Processing:solution treatment,Processing:HIP,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:solution treatment,Microstructure:MC,Processing,Microstructure,0.6,increase,medium,cooccurrence
Processing:solution treatment,Property:creep life,Processing,Property,0.6,increase,medium,cooccurrence
Processing:solution treatment,Processing:directional solidification,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:solution treatment,Processing:homogenization,Processing,Processing,0.6,increase,medium,cooccurrence
Processing:solution treatment,Microstructure:carbides,Processing,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:Ni3Al,Property:hardness,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:Ni3Al,Microstructure:Ni3Nb,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:Ni3Al,Microstructure:boride,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:Ni3Al,Microstructure:carbide,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Element:Fe,Element:Mo,Element,Element,0.85,increase,strong,cooccurrence
Element:Fe,Element:Si,Element,Element,0.7,increase,medium,cooccurrence
Element:Fe,Element:Ni,Element,Element,0.85,increase,strong,cooccurrence
Element:Fe,Element:Cr,Element,Element,0.85,increase,strong,cooccurrence
Element:Fe,Microstructure:MC,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Microstructure:Ni3Nb,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Microstructure:γ',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Fe,Microstructure:M6C,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Microstructure:γ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Fe,Microstructure:M23C6,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Microstructure:boride,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Fe,Microstructure:oxide,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Microstructure:Ni3Al,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Microstructure:carbide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Fe,Property:hardness,Element,Property,0.65,increase,medium,cooccurrence
Element:Fe,Microstructure:γ'',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Fe,Microstructure:δ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Fe,Property:EL,Element,Property,0.85,increase,strong,cooccurrence
Element:Fe,Property:ultimate tensile strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Fe,Property:creep rupture life,Element,Property,0.85,increase,strong,cooccurrence
Element:Fe,Property:yield strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Fe,Property:HV,Element,Property,0.8,increase,strong,cooccurrence
Element:Fe,Element:N,Element,Element,0.6,increase,medium,cooccurrence
Element:Fe,Element:O,Element,Element,0.6,increase,medium,cooccurrence
Element:Fe,Element:Mn,Element,Element,0.7,increase,medium,cooccurrence
Element:Fe,Element:Co,Element,Element,0.85,increase,strong,cooccurrence
Element:Fe,Microstructure:FCC,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Element:Ce,Element,Element,0.55,increase,medium,cooccurrence
Element:Fe,Microstructure:Cr2O3,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Fe,Element:Cu,Element,Element,0.6,increase,medium,cooccurrence
Element:Fe,Element:Sn,Element,Element,0.55,increase,medium,cooccurrence
Element:Fe,Element:Zr,Element,Element,0.65,increase,medium,cooccurrence
Element:Fe,Microstructure:TiN,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:MC,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Ni3Nb,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Si,Microstructure:γ',Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Si,Microstructure:M6C,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Si,Microstructure:η,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:γ,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Si,Microstructure:M23C6,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Si,Microstructure:σ,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:β,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:boride,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:μ,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:M3B2,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Laves,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:nitride,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:TCP,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:oxide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:M7C3,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Ni3Ti,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:α-Cr,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Ni3Al,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Si,Microstructure:carbide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Property:corrosion resistance,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Property:hardness,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Element:N,Element,Element,0.6,increase,medium,cooccurrence
Element:Si,Property:grain boundary coverage,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Property:area fraction of intergranular fracture,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Property:area fraction of quasi-cleavage fracture,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Property:GROD,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Property:area fraction of ductile fracture,Element,Property,0.55,increase,medium,cooccurrence
Element:Si,Element:Ce,Element,Element,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Ni-plating,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Nb oxide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:NiCr2O4,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Cr2O3,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:LiFeO2,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Li2Ni8O10,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:CrNbO4,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Cr oxide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Ni3Ce,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:LiTiO2,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Ti oxide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:LiAl2Cr3O8,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Si oxide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Microstructure:Al oxide,Element,Microstructure,0.55,increase,medium,cooccurrence
Element:Si,Property:weight loss,Element,Property,0.55,increase,medium,cooccurrence
